HEADER
VTF File Version,1.1
VTF File Type,1
PID,774753
Generated on,2024-09-23 13:27:22
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,774754
XRT  Version,2.15.225
Tool Version,2023.1
Platform,xilinx_u280_gen3x16_xdma_base_1
Target,System Run

STRUCTURE
Group_Start,xilinx_u280_gen3x16_xdma_base_1
Group_Start,kernels.xclbin
Group_Start,Compute Unit CCL,Activity in accelerator CCL:CCL
Dynamic_Row_Summary,1,Executions,Execution in accelerator CCL
Group_Summary_Start,Stall,Stalls in accelerator CCL
Static_Row,3,External Memory Stall, Stalls from accessing external memory
Static_Row,4,Intra-Kernel Dataflow Stall,Stalls from dataflow streams inside compute unit
Static_Row,5,Inter-Kernel Pipe Stall,Stalls from accessing pipes between kernels
Group_End,Stall
Group_Start,m_axi_gmem0-HBM[0](in_edge_from),Data Transfers between CCL and Global Memory over read and write channels of CCL/m_axi_gmem0-HBM[0]
Static_Row,6,Read Channel,Read Data Transfers 
Static_Row,7,Write Channel,Write Data Transfers 
Group_End,m_axi_gmem0-HBM[0](in_edge_from)
Group_Start,m_axi_gmem1-HBM[1](in_edge_to),Data Transfers between CCL and Global Memory over read and write channels of CCL/m_axi_gmem1-HBM[1]
Static_Row,8,Read Channel,Read Data Transfers 
Static_Row,9,Write Channel,Write Data Transfers 
Group_End,m_axi_gmem1-HBM[1](in_edge_to)
Group_Start,m_axi_gmem2-HBM[2](in_scores),Data Transfers between CCL and Global Memory over read and write channels of CCL/m_axi_gmem2-HBM[2]
Static_Row,10,Read Channel,Read Data Transfers 
Static_Row,11,Write Channel,Write Data Transfers 
Group_End,m_axi_gmem2-HBM[2](in_scores)
Group_Start,m_axi_gmem3-HBM[3](io_graph),Data Transfers between CCL and Global Memory over read and write channels of CCL/m_axi_gmem3-HBM[3]
Static_Row,12,Read Channel,Read Data Transfers 
Static_Row,13,Write Channel,Write Data Transfers 
Group_End,m_axi_gmem3-HBM[3](io_graph)
Group_Start,m_axi_gmem4-HBM[4](io_lookup),Data Transfers between CCL and Global Memory over read and write channels of CCL/m_axi_gmem4-HBM[4]
Static_Row,14,Read Channel,Read Data Transfers 
Static_Row,15,Write Channel,Write Data Transfers 
Group_End,m_axi_gmem4-HBM[4](io_lookup)
Group_Start,m_axi_gmem5-HBM[5](out_labels),Data Transfers between CCL and Global Memory over read and write channels of CCL/m_axi_gmem5-HBM[5]
Static_Row,16,Read Channel,Read Data Transfers 
Static_Row,17,Write Channel,Write Data Transfers 
Group_End,m_axi_gmem5-HBM[5](out_labels)
Group_End,CCL
Group_End,kernels.xclbin
Group_End,xilinx_u280_gen3x16_xdma_base_1

MAPPING
21,CCL
15,HBM[0]
16,HBM[1]
17,HBM[2]
18,HBM[3]
19,HBM[4]
20,HBM[5]
14,READ
5,WRITE
6,xrt::bo::address
3,xrt::bo::bo
9,xrt::bo::map
10,xrt::bo::size
4,xrt::bo::sync
1,xrt::device::device
2,xrt::device::load_xclbin
8,xrt::kernel::group_id
7,xrt::kernel::kernel
11,xrt::run::run
12,xrt::run::start
13,xrt::run::wait

EVENTS
111,0,6169.657777,1,KERNEL,21,21
112,0,6169.657783,4,KERNEL_STALL_DATAFLOW
113,0,6169.658012,6,KERNEL_READ,15
114,0,6169.658018,8,KERNEL_READ,16
115,0,6169.658018,10,KERNEL_READ,17
116,113,6169.658101,6,KERNEL_READ,15
117,114,6169.658107,8,KERNEL_READ,16
118,0,6169.658107,6,KERNEL_READ,15
119,115,6169.658107,10,KERNEL_READ,17
120,0,6169.658112,8,KERNEL_READ,16
121,0,6169.658112,10,KERNEL_READ,17
122,118,6169.658148,6,KERNEL_READ,15
123,120,6169.658154,8,KERNEL_READ,16
124,121,6169.658154,10,KERNEL_READ,17
125,0,6172.741965,13,KERNEL_WRITE,18
126,125,6172.741968,13,KERNEL_WRITE,18
127,0,6172.741983,13,KERNEL_WRITE,18
128,127,6172.741986,13,KERNEL_WRITE,18
129,0,6172.742107,13,KERNEL_WRITE,18
130,129,6172.742109,13,KERNEL_WRITE,18
131,0,6172.742124,13,KERNEL_WRITE,18
132,131,6172.742127,13,KERNEL_WRITE,18
133,0,6172.742142,13,KERNEL_WRITE,18
134,133,6172.742145,13,KERNEL_WRITE,18
135,0,6172.742159,13,KERNEL_WRITE,18
136,135,6172.742162,13,KERNEL_WRITE,18
137,0,6172.742212,13,KERNEL_WRITE,18
138,137,6172.742215,13,KERNEL_WRITE,18
139,0,6172.742230,13,KERNEL_WRITE,18
140,139,6172.742233,13,KERNEL_WRITE,18
141,0,6172.742389,13,KERNEL_WRITE,18
142,141,6172.742392,13,KERNEL_WRITE,18
143,0,6172.742407,13,KERNEL_WRITE,18
144,143,6172.742409,13,KERNEL_WRITE,18
145,0,6172.742601,13,KERNEL_WRITE,18
146,145,6172.742604,13,KERNEL_WRITE,18
147,0,6172.742618,13,KERNEL_WRITE,18
148,147,6172.742621,13,KERNEL_WRITE,18
149,0,6172.742742,13,KERNEL_WRITE,18
150,149,6172.742745,13,KERNEL_WRITE,18
151,0,6172.742759,13,KERNEL_WRITE,18
152,151,6172.742762,13,KERNEL_WRITE,18
153,0,6172.744683,15,KERNEL_WRITE,19
154,153,6172.744777,15,KERNEL_WRITE,19
155,0,6172.746189,15,KERNEL_WRITE,19
156,155,6172.746283,15,KERNEL_WRITE,19
157,0,6172.747695,15,KERNEL_WRITE,19
158,157,6172.747789,15,KERNEL_WRITE,19
159,0,6172.749201,15,KERNEL_WRITE,19
160,159,6172.749295,15,KERNEL_WRITE,19
161,0,6172.750707,15,KERNEL_WRITE,19
162,161,6172.750801,15,KERNEL_WRITE,19
163,0,6172.752212,15,KERNEL_WRITE,19
164,163,6172.752307,15,KERNEL_WRITE,19
165,0,6172.753718,15,KERNEL_WRITE,19
166,165,6172.753812,15,KERNEL_WRITE,19
167,0,6172.755224,15,KERNEL_WRITE,19
168,167,6172.755318,15,KERNEL_WRITE,19
169,0,6172.756730,15,KERNEL_WRITE,19
170,169,6172.756824,15,KERNEL_WRITE,19
171,0,6172.758236,15,KERNEL_WRITE,19
172,171,6172.758330,15,KERNEL_WRITE,19
173,0,6172.759742,15,KERNEL_WRITE,19
174,173,6172.759836,15,KERNEL_WRITE,19
175,0,6172.761248,15,KERNEL_WRITE,19
176,175,6172.761342,15,KERNEL_WRITE,19
177,0,6172.762754,15,KERNEL_WRITE,19
178,177,6172.762848,15,KERNEL_WRITE,19
179,0,6172.764259,15,KERNEL_WRITE,19
180,179,6172.764354,15,KERNEL_WRITE,19
181,0,6172.765765,15,KERNEL_WRITE,19
182,181,6172.765859,15,KERNEL_WRITE,19
183,0,6172.767271,15,KERNEL_WRITE,19
184,183,6172.767365,15,KERNEL_WRITE,19
185,0,6172.768777,15,KERNEL_WRITE,19
186,185,6172.768871,15,KERNEL_WRITE,19
187,0,6172.770283,15,KERNEL_WRITE,19
188,187,6172.770377,15,KERNEL_WRITE,19
189,0,6172.771789,15,KERNEL_WRITE,19
190,189,6172.771883,15,KERNEL_WRITE,19
191,0,6172.773295,15,KERNEL_WRITE,19
192,191,6172.773389,15,KERNEL_WRITE,19
193,0,6172.774801,15,KERNEL_WRITE,19
194,193,6172.774895,15,KERNEL_WRITE,19
195,0,6172.776307,15,KERNEL_WRITE,19
196,195,6172.776401,15,KERNEL_WRITE,19
197,0,6172.777812,15,KERNEL_WRITE,19
198,197,6172.777907,15,KERNEL_WRITE,19
199,0,6172.779318,15,KERNEL_WRITE,19
200,199,6172.779412,15,KERNEL_WRITE,19
201,0,6172.780824,15,KERNEL_WRITE,19
202,201,6172.780918,15,KERNEL_WRITE,19
203,0,6172.782330,15,KERNEL_WRITE,19
204,203,6172.782424,15,KERNEL_WRITE,19
205,0,6172.783836,15,KERNEL_WRITE,19
206,205,6172.783930,15,KERNEL_WRITE,19
207,0,6172.785342,15,KERNEL_WRITE,19
208,207,6172.785436,15,KERNEL_WRITE,19
209,0,6172.786848,15,KERNEL_WRITE,19
210,209,6172.786942,15,KERNEL_WRITE,19
211,0,6172.788354,15,KERNEL_WRITE,19
212,211,6172.788448,15,KERNEL_WRITE,19
213,0,6172.789859,15,KERNEL_WRITE,19
214,213,6172.789954,15,KERNEL_WRITE,19
215,0,6172.791365,15,KERNEL_WRITE,19
216,215,6172.791459,15,KERNEL_WRITE,19
217,0,6172.792871,15,KERNEL_WRITE,19
218,217,6172.792965,15,KERNEL_WRITE,19
219,0,6172.794377,15,KERNEL_WRITE,19
220,219,6172.794471,15,KERNEL_WRITE,19
221,0,6172.795883,15,KERNEL_WRITE,19
222,221,6172.795977,15,KERNEL_WRITE,19
223,0,6172.797389,15,KERNEL_WRITE,19
224,223,6172.797483,15,KERNEL_WRITE,19
225,0,6172.798895,15,KERNEL_WRITE,19
226,225,6172.798989,15,KERNEL_WRITE,19
227,0,6172.800401,15,KERNEL_WRITE,19
228,227,6172.800495,15,KERNEL_WRITE,19
229,0,6172.801907,15,KERNEL_WRITE,19
230,229,6172.802001,15,KERNEL_WRITE,19
231,0,6172.803412,15,KERNEL_WRITE,19
232,231,6172.803507,15,KERNEL_WRITE,19
233,0,6172.804918,15,KERNEL_WRITE,19
234,233,6172.805012,15,KERNEL_WRITE,19
235,0,6172.806424,15,KERNEL_WRITE,19
236,235,6172.806518,15,KERNEL_WRITE,19
237,0,6172.807930,15,KERNEL_WRITE,19
238,237,6172.808024,15,KERNEL_WRITE,19
239,0,6172.809436,15,KERNEL_WRITE,19
240,239,6172.809530,15,KERNEL_WRITE,19
241,0,6172.810942,15,KERNEL_WRITE,19
242,241,6172.811036,15,KERNEL_WRITE,19
243,0,6172.812448,15,KERNEL_WRITE,19
244,243,6172.812542,15,KERNEL_WRITE,19
245,0,6172.813954,15,KERNEL_WRITE,19
246,245,6172.814048,15,KERNEL_WRITE,19
247,0,6172.815459,15,KERNEL_WRITE,19
248,247,6172.815554,15,KERNEL_WRITE,19
249,0,6172.816965,15,KERNEL_WRITE,19
250,249,6172.817059,15,KERNEL_WRITE,19
251,0,6172.818471,15,KERNEL_WRITE,19
252,251,6172.818565,15,KERNEL_WRITE,19
253,0,6172.819977,15,KERNEL_WRITE,19
254,253,6172.820071,15,KERNEL_WRITE,19
255,0,6172.821483,15,KERNEL_WRITE,19
256,255,6172.821577,15,KERNEL_WRITE,19
257,0,6172.822989,15,KERNEL_WRITE,19
258,257,6172.823083,15,KERNEL_WRITE,19
259,0,6172.824495,15,KERNEL_WRITE,19
260,259,6172.824589,15,KERNEL_WRITE,19
261,0,6172.826001,15,KERNEL_WRITE,19
262,261,6172.826095,15,KERNEL_WRITE,19
263,0,6172.827507,15,KERNEL_WRITE,19
264,263,6172.827601,15,KERNEL_WRITE,19
265,0,6172.829012,15,KERNEL_WRITE,19
266,265,6172.829107,15,KERNEL_WRITE,19
267,0,6172.830518,15,KERNEL_WRITE,19
268,267,6172.830612,15,KERNEL_WRITE,19
269,0,6172.832024,15,KERNEL_WRITE,19
270,269,6172.832118,15,KERNEL_WRITE,19
271,0,6172.833530,15,KERNEL_WRITE,19
272,271,6172.833624,15,KERNEL_WRITE,19
273,0,6172.835036,15,KERNEL_WRITE,19
274,273,6172.835130,15,KERNEL_WRITE,19
275,0,6172.836542,15,KERNEL_WRITE,19
276,275,6172.836636,15,KERNEL_WRITE,19
277,0,6172.838048,15,KERNEL_WRITE,19
278,277,6172.838142,15,KERNEL_WRITE,19
279,0,6172.839554,15,KERNEL_WRITE,19
280,279,6172.839648,15,KERNEL_WRITE,19
281,0,6172.841059,15,KERNEL_WRITE,19
282,281,6172.841154,15,KERNEL_WRITE,19
283,0,6172.842565,15,KERNEL_WRITE,19
284,283,6172.842659,15,KERNEL_WRITE,19
285,0,6172.844071,15,KERNEL_WRITE,19
286,285,6172.844165,15,KERNEL_WRITE,19
287,0,6172.845577,15,KERNEL_WRITE,19
288,287,6172.845671,15,KERNEL_WRITE,19
289,0,6172.847083,15,KERNEL_WRITE,19
290,289,6172.847177,15,KERNEL_WRITE,19
291,0,6172.848589,15,KERNEL_WRITE,19
292,291,6172.848683,15,KERNEL_WRITE,19
293,0,6172.850095,15,KERNEL_WRITE,19
294,293,6172.850189,15,KERNEL_WRITE,19
295,0,6172.851601,15,KERNEL_WRITE,19
