Profile Summary
Generated on: 2024-10-08 10:36:32
Msec since Epoch: 1728376592472
Profiled application: app_hw
Target platform: Xilinx
Tool version: 2023.1
XRT build version: 2.15.225
Build version branch: 2023.1
Build version hash: adf27adb3cfadc6e4c41d6db814159f1329b24f3
Build version date: 2023-05-03 10:13:19
Target devices: xilinx_u280_gen3x16_xdma_base_1-0
Flow mode: System Run

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_gen3x16_xdma_base_1-0,CCL,CCL,1:1:1,1:1:1,1,Yes,1,1.000000x,547.923,547.923,547.923,547.923,300,





Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Bandwidth Utilization With Respect To Current Port Configuration (%),Bandwidth Utilization With Respect To Ideal Port Configuration (%),Maximum Achievable BW on Current Port Configuration (MB/s),Maximum Theoretical BW on Ideal Port Configuration (MB/s),Average Size (KB),Average Latency (ns),
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem0,in_full_graph,HBM[0],READ,381951,22.21,1.85083,0.115677,1200,19200,0.004,54.0298,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem1,in_scores,HBM[1],READ,317781,132.623,11.0519,0.690746,1200,19200,0.0250254,61.5246,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem2,io_graph,HBM[2],WRITE,88562,47.8107,3.98423,0.249014,1200,19200,0.004,176.917,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem2,io_graph,HBM[2],READ,120553,22.8416,1.90347,0.118967,1200,19200,0.004,52.5357,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem3,io_lookup,HBM[3],WRITE,31991,52.1739,4.34783,0.271739,1200,19200,0.004,23,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem3,io_lookup,HBM[3],READ,31991,129.096,10.758,0.672374,1200,19200,0.004,58.8802,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem4,io_lookup_filter,HBM[4],WRITE,31991,52.1739,4.34783,0.271739,1200,19200,0.004,23,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem4,io_lookup_filter,HBM[4],READ,113140,21.7653,1.81378,0.113361,1200,19200,0.004,55.1335,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem5,out_components,HBM[5],WRITE,36192,166.487,13.8739,0.867118,1200,19200,0.004,23,

Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u280_gen3x16_xdma_base_1-0,CCL,381951,4,0.0976562,1.5278,0,1.5278,22.21,


Compute Units: Stall Information
Compute Unit,Execution Count,Running Time (ms),Intra-Kernel Dataflow Stalls (ms),External Memory Stalls (ms),Inter-Kernel Pipe Stalls (ms),
CCL,1,547.923,0,3.02091,0

TITLE:Native API Calls
SECTION:API Calls,Native API Calls
COLUMN:<html>API Name</html>,string,Name of Native XRT API,
COLUMN:<html>Number<br>Of Calls</html>,int,Number of calls to API,
COLUMN:<html>Total<br>Time (ms)</html>,float,Total execution time (in ms),
COLUMN:<html>Minimum<br>Time (ms)</html>,float,Minimum execution time (in ms),
COLUMN:<html>Average<br>Time (ms)</html>,float,Average execution time (in ms),
COLUMN:<html>Maximum<br>Time (ms)</html>,float,Maximum execution time (in ms),
ENTRY:xrt::bo::address,7,0.012613,0.00016,0.00180186,0.009067,
ENTRY:xrt::bo::bo,7,55.9997,0.012684,7.99995,23.3027,
ENTRY:xrt::bo::map,7,0.00482,7e-05,0.000688571,0.002094,
ENTRY:xrt::bo::size,6,0.012744,0.001603,0.002124,0.003837,
ENTRY:xrt::bo::sync,8,60.0062,0.059912,7.50078,24.6987,
ENTRY:xrt::device::device,1,79.1302,79.1302,79.1302,79.1302,
ENTRY:xrt::device::load_xclbin,1,5769.62,5769.62,5769.62,5769.62,
ENTRY:xrt::kernel::group_id,6,0.010791,0.000431,0.0017985,0.003537,
ENTRY:xrt::kernel::kernel,1,9.94851,9.94851,9.94851,9.94851,
ENTRY:xrt::run::run,1,0.092974,0.092974,0.092974,0.092974,
ENTRY:xrt::run::start,1,0.013515,0.013515,0.013515,0.013515,
ENTRY:xrt::run::wait,1,548.08,548.08,548.08,548.08,

TITLE:Host Reads from Global Memory
SECTION:Host Data Transfers,Host Reads from Global Memory
COLUMN:<html>Number<br>of Reads</html>,int,Number of host reads (note: may contain OpenCL printf transfers),
COLUMN:<html>Maximum<br>Buffer<br>Size (KB)</html>,float,Maximum buffer size of host reads,
COLUMN:<html>Minimum<br>Buffer<br>Size (KB)</html>,float,Minimum buffer size of host reads,
COLUMN:<html>Average<br>Buffer<br>Size (KB)</html>,float,Average buffer size of host reads: Average Size = (Total KB) / (Number of Transfers),
COLUMN:<html>Transfer<br>Rate (MB/s)</html>,float,Rate of host reads (in MB/s): Transfer Rate = (Total Bytes) / (Total Time in us),
COLUMN:<html>Average<br>Bandwidth<br>Utilization (%)</html>,float,Average bandwidth of host reads: Bandwidth Utilization (%) = (100 * Transfer Rate) / (Max. Theoretical Rate),
COLUMN:<html>Maximum<br>Time (ms)</html>,float,Maximum time of a single host read,
COLUMN:<html>Minimum<br>Time (ms)</html>,float,Minimum time of a single host read,
COLUMN:<html>Total<br>Time (ms)</html>,float,Combined time of all host reads,
COLUMN:<html>Average<br>Time (ms)</html>,float,Average of read durations (in ms),
ENTRY:2,11717.7,163.84,5940.78,11902,75.5496,0.937932,0.060352,0.998284,0.499142,

TITLE:Host Writes to Global Memory
SECTION:Host Data Transfers,Host Writes to Global Memory
COLUMN:<html>Number<br>of Writes</html>,int,Number of host writes,
COLUMN:<html>Maximum<br>Buffer<br>Size (KB)</html>,float,Maximum buffer size of host writes,
COLUMN:<html>Minimum<br>Buffer<br>Size (KB)</html>,float,Minimum buffer size of host writes,
COLUMN:<html>Average<br>Buffer<br>Size (KB)</html>,float,Average buffer size of host writes: Average Size = (Total KB) / (Number of Transfers),
COLUMN:<html>Transfer<br>Rate (MB/s)</html>,float,Rate of host writes (in MB/s): Transfer Rate = (Total Bytes) / (Total Time in us),
COLUMN:<html>Average<br>Bandwidth<br>Utilization (%)</html>,float,Average bandwidth of host writes: Bandwidth Utilization (%) = (100 * Transfer Rate) / (Max. Theoretical Rate),
