Profile Summary
Generated on: 2024-11-24 17:57:13
Msec since Epoch: 1732467433211
Profiled application: app_hw
Target platform: Xilinx
Tool version: 2023.1
XRT build version: 2.15.225
Build version branch: 2023.1
Build version hash: adf27adb3cfadc6e4c41d6db814159f1329b24f3
Build version date: 2023-05-03 10:13:19
Target devices: xilinx_u280_gen3x16_xdma_base_1-0
Flow mode: System Run

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_gen3x16_xdma_base_1-0,CCL,CCL,1:1:1,1:1:1,6,Yes,1,1.000000x,1214.24,175.012,202.374,233.279,300,





Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Bandwidth Utilization With Respect To Current Port Configuration (%),Bandwidth Utilization With Respect To Ideal Port Configuration (%),Maximum Achievable BW on Current Port Configuration (MB/s),Maximum Theoretical BW on Ideal Port Configuration (MB/s),Average Size (KB),Average Latency (ns),
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem0,in_full_graph,HBM[0],READ,1776798,388.368,2.02275,2.02275,19200,19200,0.0689987,53.3,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem1,in_full_graph_cons,HBM[1],READ,1969,4118.15,21.4487,21.4487,19200,19200,1.01984,87.8832,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem2,in_scores,HBM[2],READ,1776798,375.128,1.95379,1.95379,19200,19200,0.0689987,55.1811,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem3,io_graph,HBM[3],WRITE,381582,82.826,1.72554,0.431386,4800,19200,0.004,23,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem3,io_graph,HBM[3],READ,381630,86.8129,1.8086,0.452151,4800,19200,0.016,55.2961,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem4,io_graph_cons,HBM[4],WRITE,1963,7139.77,37.1863,37.1863,19200,19200,1.02276,42.9745,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem4,io_graph_cons,HBM[4],READ,246457,339.841,1.77,1.77,19200,19200,0.064,56.497,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem5,out_components,HBM[5],WRITE,59070,196.244,16.3537,1.02211,1200,19200,0.0165316,26.1329,

Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u280_gen3x16_xdma_base_1-0,CCL,1776798,68.9987,1.68454,122.597,0,122.597,388.368,


Compute Units: Stall Information
Compute Unit,Execution Count,Running Time (ms),Intra-Kernel Dataflow Stalls (ms),External Memory Stalls (ms),Inter-Kernel Pipe Stalls (ms),
CCL,6,1214.24,0,5.74337,0

TITLE:Native API Calls
SECTION:API Calls,Native API Calls
COLUMN:<html>API Name</html>,string,Name of Native XRT API,
COLUMN:<html>Number<br>Of Calls</html>,int,Number of calls to API,
COLUMN:<html>Total<br>Time (ms)</html>,float,Total execution time (in ms),
COLUMN:<html>Minimum<br>Time (ms)</html>,float,Minimum execution time (in ms),
COLUMN:<html>Average<br>Time (ms)</html>,float,Average execution time (in ms),
COLUMN:<html>Maximum<br>Time (ms)</html>,float,Maximum execution time (in ms),
ENTRY:xrt::bo::address,37,0.023422,0.00014,0.000633027,0.010069,
ENTRY:xrt::bo::bo,7,64.8126,0.009698,9.25895,23.9839,
ENTRY:xrt::bo::map,7,0.004257,7e-05,0.000608143,0.001913,
ENTRY:xrt::bo::size,42,0.121854,0.001383,0.00290129,0.022973,
ENTRY:xrt::bo::sync,44,320.024,0.083556,7.27327,24.8463,
ENTRY:xrt::device::device,1,192.807,192.807,192.807,192.807,
ENTRY:xrt::device::load_xclbin,1,67.8464,67.8464,67.8464,67.8464,
ENTRY:xrt::kernel::group_id,6,0.010319,0.00013,0.00171983,0.003857,
ENTRY:xrt::kernel::kernel,1,11.4829,11.4829,11.4829,11.4829,
ENTRY:xrt::run::run,6,0.077886,0.003686,0.012981,0.057448,
ENTRY:xrt::run::start,6,0.068929,0.009427,0.0114882,0.012353,
ENTRY:xrt::run::wait,6,1216.6,175.298,202.766,233.596,

TITLE:Host Reads from Global Memory
SECTION:Host Data Transfers,Host Reads from Global Memory
COLUMN:<html>Number<br>of Reads</html>,int,Number of host reads (note: may contain OpenCL printf transfers),
COLUMN:<html>Maximum<br>Buffer<br>Size (KB)</html>,float,Maximum buffer size of host reads,
COLUMN:<html>Minimum<br>Buffer<br>Size (KB)</html>,float,Minimum buffer size of host reads,
COLUMN:<html>Average<br>Buffer<br>Size (KB)</html>,float,Average buffer size of host reads: Average Size = (Total KB) / (Number of Transfers),
COLUMN:<html>Transfer<br>Rate (MB/s)</html>,float,Rate of host reads (in MB/s): Transfer Rate = (Total Bytes) / (Total Time in us),
COLUMN:<html>Average<br>Bandwidth<br>Utilization (%)</html>,float,Average bandwidth of host reads: Bandwidth Utilization (%) = (100 * Transfer Rate) / (Max. Theoretical Rate),
COLUMN:<html>Maximum<br>Time (ms)</html>,float,Maximum time of a single host read,
COLUMN:<html>Minimum<br>Time (ms)</html>,float,Minimum time of a single host read,
COLUMN:<html>Total<br>Time (ms)</html>,float,Combined time of all host reads,
COLUMN:<html>Average<br>Time (ms)</html>,float,Average of read durations (in ms),
ENTRY:7,590.144,294.912,337.088,2866.97,18.1985,0.178613,0.084057,0.823036,0.117577,

TITLE:Host Writes to Global Memory
SECTION:Host Data Transfers,Host Writes to Global Memory
COLUMN:<html>Number<br>of Writes</html>,int,Number of host writes,
COLUMN:<html>Maximum<br>Buffer<br>Size (KB)</html>,float,Maximum buffer size of host writes,
COLUMN:<html>Minimum<br>Buffer<br>Size (KB)</html>,float,Minimum buffer size of host writes,
COLUMN:<html>Average<br>Buffer<br>Size (KB)</html>,float,Average buffer size of host writes: Average Size = (Total KB) / (Number of Transfers),
COLUMN:<html>Transfer<br>Rate (MB/s)</html>,float,Rate of host writes (in MB/s): Transfer Rate = (Total Bytes) / (Total Time in us),
