edge_from,edge_to,scores,labels
24867,24867,24867,3336
677,1154,7.036637157398218e-07,-1
945,1459,3.147569941575057e-06,-1
1021,1278,0.00010143696999875829,-1
899,1152,2.13293355955102e-06,-1
900,1152,1.4252490245780791e-06,-1
331,1139,0.0007563570979982615,-1
784,1142,3.415783282889606e-07,-1
786,1142,9.765799546812559e-08,-1
787,1142,1.7451974088089628e-07,-1
772,1185,9.170924499812827e-07,-1
714,1124,2.788883648463525e-07,-1
715,1124,4.491137224249542e-05,-1
173,1121,5.168326424609404e-06,-1
895,1440,4.298340172681492e-07,-1
839,1137,0.8688158392906189,-1
840,1137,8.696130680618808e-05,-1
712,1186,4.3945729544248024e-07,-1
720,1186,9.70508011732818e-08,-1
953,1218,0.0003029309445992112,-1
936,1200,4.438884104729368e-07,-1
906,1480,9.62612102739513e-06,-1
859,1238,3.1031663638714235e-06,-1
747,1349,3.5958498756372137e-06,-1
212,1139,4.6812431264697807e-07,-1
978,1489,0.0001090977166313678,-1
971,1489,0.0007639475516043603,-1
929,1186,5.0125258894695435e-06,-1
738,1349,1.2709355132756173e-06,-1
738,1348,0.00013179743837099522,-1
906,1457,3.1505824154010043e-06,-1
821,1122,0.06776757538318634,-1
287,1141,4.689491561293835e-06,-1
910,1238,6.147265025902016e-07,-1
817,1169,6.7140172177460045e-06,-1
780,1185,0.0001846654777182266,-1
902,1440,2.36553096328862e-05,-1
904,1440,1.2367279111913376e-07,-1
792,1168,2.1869700503884815e-06,-1
905,1440,4.6305985961225815e-06,-1
907,1440,6.57296841382049e-05,-1
741,1335,2.7069096177001484e-05,-1
742,1335,0.0007699133711867034,-1
867,1242,0.00010332741658203304,-1
630,1335,9.173275611829013e-05,-1
886,1480,0.0001513862662250176,-1
887,1480,8.960984268924221e-05,-1
732,1329,3.839816781692207e-05,-1
248,1139,2.321472265975899e-06,-1
778,1142,1.081325962104529e-07,-1
711,1122,5.989678356854711e-06,-1
712,1122,1.7907076426126878e-06,-1
795,1216,0.0003820813144557178,-1
801,1216,0.0017238123109564185,-1
795,1202,3.0388680443138583e-06,-1
876,1782,2.0588442566804588e-05,-1
829,1654,4.3736705265473574e-05,-1
829,1656,6.159659824334085e-05,-1
769,1200,1.813666159478089e-07,-1
995,1472,0.002237781649455428,-1
995,1473,0.0612025111913681,-1
868,1371,1.1622561942203902e-05,-1
753,1168,0.0033196944277733564,-1
913,1789,1.1661254006867239e-07,-1
238,1139,4.09238382417243e-05,-1
157,1165,0.00012267599231563509,-1
944,1140,3.422063059588254e-07,-1
737,1424,2.300719188497169e-06,-1
737,1423,1.7496583950560307e-06,-1
831,1429,0.0001750783994793892,-1
944,1505,1.1224356057937257e-05,-1
702,1139,1.3107453469274333e-06,-1
967,1426,5.9847047850780655e-06,-1
967,1429,1.2001964933006093e-05,-1
929,1170,6.800570554332808e-05,-1
853,1219,1.0608841876091901e-06,-1
840,1185,2.4940340153989382e-05,-1
819,1185,3.997637577413116e-06,-1
792,1202,3.659264393718331e-07,-1
786,1236,1.5152001253682101e-07,-1
787,1236,4.428538886713795e-06,-1
861,1784,0.00032499368535354733,-1
804,1122,3.783018769354385e-07,-1
383,1217,0.00016370210505556315,-1
766,1216,0.0004388160305097699,-1
752,1218,0.0001318489812547341,-1
215,1232,0.00012712519674096256,-1
216,1232,9.782308916328475e-05,-1
744,1347,2.38572937405479e-07,-1
743,1350,1.7108763131545857e-05,-1
938,1482,1.0278423587806174e-06,-1
939,1482,7.702201969550515e-07,-1
810,1185,0.0003316948132123798,-1
812,1185,2.085677351715276e-06,-1
311,1608,1.3665747246704996e-05,-1
771,1381,2.6337840608903207e-05,-1
791,1381,1.2467219221434789e-06,-1
964,1450,7.674142352698254e-07,-1
944,1482,6.788612267882854e-07,-1
741,1106,1.203291333240486e-07,-1
742,1106,1.1053823811835173e-07,-1
703,1330,0.0002252769045298919,-1
977,1489,3.984494924225146e-06,-1
712,1170,2.0697563741123304e-05,-1
741,1333,1.7137384702436975e-06,-1
740,1333,3.004616019097739e-06,-1
742,1333,4.005877599411178e-06,-1
750,1115,2.809152022109629e-07,-1
750,1116,1.6013127606129274e-05,-1
957,1426,1.589078783581499e-05,-1
695,1140,1.1574545766279698e-07,-1
835,1427,2.658792982401792e-05,-1
852,1784,2.5648787413956597e-05,-1
777,1140,6.428647338907467e-07,-1
778,1140,1.5424126331708976e-07,-1
811,1347,4.814206022274448e-06,-1
361,1236,0.0012256632326170802,-1
821,1170,1.9211067865398945e-06,-1
712,1219,0.00011199259461136535,-1
823,1426,1.8134209312847815e-05,-1
824,1426,6.76436502544675e-06,-1
823,1427,7.029647804301931e-06,-1
824,1427,5.0596163418958895e-06,-1
824,1429,0.0001482310181017965,-1
714,1122,0.0002904550638049841,-1
715,1122,4.02136038246681e-06,-1
906,1427,7.144646588130854e-06,-1
140,1184,1.4369576092576608e-05,-1
950,1430,1.0026439667853992e-05,-1
703,1329,7.044465746730566e-05,-1
797,1441,2.6232262939629436e-07,-1
798,1122,4.2895604224213457e-07,-1
777,1124,9.327441148343496e-06,-1
